dataset,model,representation,classifier,n_cells,n_cells_before_shared_input_qc,n_zero_input_excluded,n_train_cells,n_test_cells,n_classes,n_matched_hvgs,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
Human_Pancreas,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,26474,26474,0,21179,5295,4,1149,2.22066330909729,0.8735552465105023,0.989423984891407,0.8428683754708143,0.0046475122054516,0.0047167862023636,0.0027377863692232,0.0162245058571739,0.0354801574083036
Human_Pancreas,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,26474,26474,0,21179,5295,4,1149,0.8949253559112549,0.9829686611269268,0.9981114258734656,0.9873151321609116,0.0009004840456656,0.00090058545073,0.0007639911112923,0.0027788859901053,0.004562279265257
Human_Pancreas,Matched HVGs plus Random Forest,matched_hvgs,random_forest,26474,26474,0,21179,5295,4,1149,2.510542869567871,0.9513941270636128,0.9947119924457036,0.9189764066207416,0.0379150138511154,0.0379150138511155,0.0200646835173223,0.014521841354572,0.0515262734065581
Human_Pancreas,Matched HVGs plus XGBoost,matched_hvgs,xgboost,26474,26474,0,21179,5295,4,1149,1.9031283855438232,0.9823803395593692,0.9971671388101984,0.9961127613883428,0.0014269192543123,0.0009924516660623,0.0011497109109987,0.0045845777869045,0.0090993589931618
Pig_Pancreas,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,22056,22056,0,17644,4412,4,1104,0.5986940860748291,0.6013458633720048,0.9406165004533092,0.5451050554128409,0.0440444950464847,0.0436187464012923,0.0370248819522482,0.0880021103009728,0.1874726180458956
Pig_Pancreas,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,22056,22056,0,17644,4412,4,1104,4.561443090438843,0.5961632538109766,0.9378966455122394,0.5362793253486533,0.0516330460084701,0.0510482772019284,0.0383335220795544,0.0974749546950807,0.1982850183368703
Pig_Pancreas,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,22056,22056,0,17644,4412,4,1104,1.7557082176208496,0.864984569247063,0.972348141432457,0.7964379572706805,0.0113368840997884,0.0113648177239765,0.0096113767073246,0.042935529464478,0.0865907682013349
Pig_Pancreas,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,22056,22056,0,17644,4412,4,1104,0.4407141208648681,0.993417839037721,0.9975067996373528,0.9964748018017964,0.0016964827640698,0.0013574541116901,0.0010938929861243,0.0039675969663308,0.0105567921972305
Pig_Pancreas,Matched HVGs plus Random Forest,matched_hvgs,random_forest,22056,22056,0,17644,4412,4,1104,1.3221042156219482,0.9467780291636988,0.9963735267452404,0.9120643720791932,0.0215752491303987,0.0215752491303987,0.0118234359959828,0.0105659451613523,0.0314307163331184
Pig_Pancreas,Matched HVGs plus XGBoost,matched_hvgs,xgboost,22056,22056,0,17644,4412,4,1104,1.11175274848938,0.9912254179663798,0.9961468721668176,0.9920619367697026,0.0021447025319467,0.0020097649526811,0.0015020293062189,0.0057624010601295,0.011416158623871
