dataset,model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_wilson_low,accuracy_wilson_high
Indonesia_PBMC,Matched HVGs plus XGBoost,8,0.7,0.8,3003,0.7535259629185105,0.7335997335997336,0.7174972869844874,0.7491052988898831
Indonesia_PBMC,Matched HVGs plus XGBoost,9,0.8,0.9,5229,0.8568347929471947,0.8445209409064831,0.8344468269694383,0.8540892252602035
Indonesia_PBMC,Matched HVGs plus XGBoost,10,0.9,1.0,79387,0.9873559554951504,0.9896330633479034,0.9889044016968467,0.9903143415674323
Brain_Atlas,scGPT embeddings plus Logistic Regression,1,0.0,0.1,0,,,,
Brain_Atlas,scGPT embeddings plus Logistic Regression,2,0.1,0.2,0,,,,
Brain_Atlas,scGPT embeddings plus Logistic Regression,3,0.2,0.3,5,0.2678548991680145,0.4,0.11762077423264783,0.769275718723987
Brain_Atlas,scGPT embeddings plus Logistic Regression,4,0.3,0.4,11,0.3571848652579568,1.0,0.7411670330319684,1.0
Brain_Atlas,scGPT embeddings plus Logistic Regression,5,0.4,0.5,40,0.4641793206334114,0.45,0.3070530781090492,0.6017090820106794
Brain_Atlas,scGPT embeddings plus Logistic Regression,6,0.5,0.6,93,0.5497736264300602,0.5591397849462365,0.4578815660386337,0.6557061487062148
Brain_Atlas,scGPT embeddings plus Logistic Regression,7,0.6,0.7,127,0.6506807574136989,0.7952755905511811,0.716926658497512,0.8562861493998719
Brain_Atlas,scGPT embeddings plus Logistic Regression,8,0.7,0.8,250,0.758449588060379,0.888,0.8428908673839414,0.9213656922075936
Brain_Atlas,scGPT embeddings plus Logistic Regression,9,0.8,0.9,764,0.8633642460351215,0.9489528795811518,0.9309780517240045,0.9624355457308762
Brain_Atlas,scGPT embeddings plus Logistic Regression,10,0.9,1.0,13826,0.9755761791643041,0.9940691450889628,0.9926448770235425,0.9952189419999471
Brain_Atlas,scGPT embeddings plus Random Forest,1,0.0,0.1,0,,,,
Brain_Atlas,scGPT embeddings plus Random Forest,2,0.1,0.2,0,,,,
Brain_Atlas,scGPT embeddings plus Random Forest,3,0.2,0.3,3,0.28166666626930237,0.3333333333333333,0.06149194472039621,0.7923403991979522
Brain_Atlas,scGPT embeddings plus Random Forest,4,0.3,0.4,12,0.3724999949336052,0.4166666666666667,0.19326031365875665,0.6804886874504503
Brain_Atlas,scGPT embeddings plus Random Forest,5,0.4,0.5,56,0.4561607156481062,0.5357142857142857,0.40704181935661177,0.6598014708777623
Brain_Atlas,scGPT embeddings plus Random Forest,6,0.5,0.6,132,0.5485227238951307,0.7651515151515151,0.6859748045488461,0.8293317933609827
Brain_Atlas,scGPT embeddings plus Random Forest,7,0.6,0.7,205,0.6561951227304412,0.8390243902439024,0.7825564045769856,0.8830202523996437
Brain_Atlas,scGPT embeddings plus Random Forest,8,0.7,0.8,333,0.7553303300797403,0.9069069069069069,0.8708917736626118,0.9336410203372427
Brain_Atlas,scGPT embeddings plus Random Forest,9,0.8,0.9,1012,0.8620750950612569,0.9683794466403162,0.9557026980152503,0.9775137913969336
Brain_Atlas,scGPT embeddings plus Random Forest,10,0.9,1.0,13363,0.9833151283605294,0.9957344907580633,0.9944780567639084,0.996705989281395
Brain_Atlas,scGPT embeddings plus XGBoost,1,0.0,0.1,0,,,,
Brain_Atlas,scGPT embeddings plus XGBoost,2,0.1,0.2,0,,,,
Brain_Atlas,scGPT embeddings plus XGBoost,3,0.2,0.3,0,,,,
Brain_Atlas,scGPT embeddings plus XGBoost,4,0.3,0.4,0,,,,
Brain_Atlas,scGPT embeddings plus XGBoost,5,0.4,0.5,3,0.4833410978317261,0.0,5.551115123125783e-17,0.5614970317550454
Brain_Atlas,scGPT embeddings plus XGBoost,6,0.5,0.6,21,0.5420608634040469,0.42857142857142855,0.2446996892537596,0.6345344563069328
