fold,labels_per_class,representation,classifier,model,macro_f1,macro_f1_seed_sd,ece_equal_width_10,multiclass_brier,negative_log_likelihood
3,250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9000473497525586,0.0038374600773757026,0.02590867006982712,0.131457304376743,0.25850457178700126
3,250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8579209350003507,0.0008307449086049093,0.3234930250869409,0.36055989583649667,0.7692394324084428
3,250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8632643236055285,0.0029433248382215354,0.05539964789032862,0.20748852065343742,0.41484605213946846
3,500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9191547483474334,0.0028986731421672854,0.0480074448926869,0.13274056394965625,0.3213530324365899
3,500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9149529005128614,0.002133140845561935,0.02763864607172998,0.11646316663461007,0.22901516928302054
3,500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8730256800839576,0.001973274402781101,0.24801512366255024,0.28263518569085366,0.6017509347799084
3,500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8784794853945617,0.004678444475016165,0.05101353135736102,0.18246984783773934,0.3680336013295154
4,10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8676719091861633,0.003772116544580807,0.06748312283234342,0.2456765700841525,0.4790843502974358
4,10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6770954779584617,0.028304906047006785,0.08964710634158211,0.4129128197532735,0.9197312979211553
4,10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.6791481544272359,0.038574858094928305,0.525057550215183,0.8335709161704893,2.1022424952053598
4,10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.6363685325075282,0.0313404598821533,0.06365046388447164,0.45865822715085125,1.019586350026469
4,25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8962750364220383,0.005675878570774176,0.014366231572461039,0.1743169187632247,0.32816147075961616
4,25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.7867699931380385,0.02109621871900068,0.04200306866165236,0.25950386215310894,0.5429451958615734
4,25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7499031588679609,0.008383141395076454,0.5629507166224841,0.7222237782218965,1.6962094808151413
4,25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7350735353955105,0.011668589987046249,0.04402973462287428,0.330393343909604,0.7104371910476464
4,50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9043833219031532,0.0035323569434654173,0.015265026598830358,0.15799364674599556,0.29943571741250896
4,50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8308929718817664,0.022850062674503555,0.02202179117034898,0.19934990811130113,0.3975958378900445
4,50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7866558013071667,0.002939116897243872,0.5026535185203651,0.6114373528331801,1.372822791786125
4,50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.785254672138695,0.018632576635358316,0.050841413736591644,0.27971327376775845,0.5803432357780577
4,100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9140718523367669,0.0034420574796320763,0.027053385417046084,0.13938206879151468,0.2727068363250293
4,100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8725471070953283,0.008094523334891955,0.01756017162904612,0.15381359280470214,0.3047653082617882
4,100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8259559307033107,0.0069421925695750146,0.44078258761952005,0.4905185264136732,1.070391754632133
4,100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8191255967073907,0.010714967504597345,0.04843572395619574,0.2313504697114448,0.4732467872253371
4,250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9154642389709636,0.0005510122450696342,0.04030253787057408,0.13248000921441985,0.28733466728564083
4,250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9006429894861869,0.003572337601506814,0.02588458080185036,0.13038998739391017,0.2571425394453697
4,250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.856280923361431,0.002089511944168322,0.3301901947823157,0.3564885903851379,0.7663769426004381
4,250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8546273605223529,0.0034052722869983973,0.0496968395344854,0.19813941090832196,0.39901941048214046
4,500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9176545451007072,0.0035771960098174497,0.04754986050225626,0.13073442411912645,0.3133073069177229
4,500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9111515395127487,0.0023061127022109807,0.029942983324321642,0.1189989190719796,0.23282864271555223
4,500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.870600271135803,0.001703110345273075,0.2516803646694534,0.28218184376594974,0.6023568364630304
4,500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8764551142564864,0.002559198656885569,0.0476540178417166,0.17777577231915498,0.35578654129953147
