fold,labels_per_class,scarcity_seed,total_training_labels,representation,classifier,model,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
1,25,20260812,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.1127691268920898,0.7194895767382897,0.7420536439989163,0.8420705124761729,0.0430083462144169,0.0424887719915948,0.0258102978643838,0.3667637783140038,0.805233908295931
1,25,20260812,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1772427558898925,0.8999585508506348,0.8865023028989434,0.9144404900333198,0.0178999096567838,0.017891597509399,0.0086693997349568,0.1674994223982549,0.3172698043706551
1,25,20260812,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.5951972007751465,0.8338636794620651,0.8349715524248171,0.8662148159702705,0.0233102600031194,0.023873897554193,0.0154521104427746,0.2479835479799555,0.5213896565191201
1,25,20260813,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0855662822723388,0.7378839814780659,0.712879978325657,0.854291620839346,0.5133892757195738,0.5133892757195739,0.093937271130854,0.7267059813177409,1.709620255439813
1,25,20260813,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.1533763408660889,0.7369702089357785,0.7498347331346519,0.8594119247966265,0.0678465866916051,0.0677373863527102,0.0301408756639671,0.3690777234882454,0.7852740998918303
1,25,20260813,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1671056747436523,0.8860666586955913,0.8740720671904633,0.9231295746712408,0.0187760887804022,0.0195468724359246,0.0146656794216678,0.1884080427554638,0.3649169266196347
1,25,20260813,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.6270475387573242,0.7837551991907122,0.8283608778108914,0.862188987167714,0.0371851451557553,0.0369741459627451,0.0171080905101185,0.265431863160172,0.5790711121496617
1,25,20260814,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0791079998016357,0.7492302051048687,0.7160986182606339,0.8544970824464866,0.5167089238431407,0.5167089238431407,0.0949849482079846,0.7278124299255,1.7126596240506224
1,25,20260814,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.1685664653778076,0.7539116129610368,0.768843131942563,0.8533646683686964,0.04592217058492,0.0458170752795508,0.0254711572849057,0.3342496555907099,0.7247070854472778
1,25,20260814,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1645455360412597,0.8866508584447187,0.8693253860742346,0.921698645981928,0.0173623027770727,0.017355098875514,0.0126480278710866,0.1919215822605041,0.3633431972633619
1,25,20260814,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.605354070663452,0.7675943731516066,0.8051584936331617,0.8640376259473217,0.0373472139066814,0.0378775310746321,0.0235881439196486,0.292749007332992,0.5930787971379189
1,25,20260815,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0889892578125,0.7443044004982985,0.755784340287185,0.8487841036642738,0.5532131463571397,0.5532131463571395,0.0918819200789019,0.7204305215270941,1.686791338289732
1,25,20260815,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.107421636581421,0.706085028635205,0.7601083717149824,0.8418830917229714,0.0587722293397421,0.0584613238672307,0.0252699658412742,0.3536390861482546,0.7579198685025298
1,25,20260815,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1599369049072265,0.8915637075124068,0.8624004334868599,0.9059587272947518,0.0068547279037366,0.0073319316174857,0.0131194879997893,0.1994259559891761,0.3693092746092968
1,25,20260815,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.5111091136932373,0.7364642898647792,0.7915903549173665,0.8409708052021931,0.0255666676724409,0.0266284758755612,0.021897580589573,0.302165826345701,0.5999464529223619
1,50,20260811,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1064560413360595,0.7971015406649985,0.7877756705499864,0.8764756473663385,0.5063121244380387,0.5063078924061508,0.0828203494044038,0.6135827974969448,1.373484180744478
1,50,20260811,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.3457648754119873,0.7740325556067895,0.7981360065023029,0.8828143921254035,0.0576890197475429,0.0578638120330518,0.0215590968105955,0.2975972091272881,0.6220903553233469
1,50,20260811,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2008068561553955,0.8938118956623529,0.8836521267949066,0.9284621868779448,0.0204888793656889,0.0184827190692903,0.0106182000163905,0.1724903290956957,0.3264064560216038
1,50,20260811,650,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.8530192375183103,0.8251377609061462,0.8522026551070171,0.8992272791916043,0.0187013666719691,0.0189080432367667,0.0149507981081489,0.2195924050138437,0.44895403688912
1,50,20260812,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0822303295135498,0.7867213661245637,0.7676293687347602,0.8655649703323116,0.4864291518328638,0.486429151832864,0.0837123384784362,0.6183988958696912,1.3863390993209737
1,50,20260812,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.3316845893859863,0.7764743536861254,0.8090273638580331,0.8801823601949571,0.0547233044535788,0.0551401550470556,0.0191291526660864,0.2832176021474059,0.5846973501434817
1,50,20260812,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2058019638061523,0.8880718594337585,0.8754050392847467,0.921328526976488,0.0221140292063353,0.021825549305328,0.0119707844248097,0.1853844410597049,0.3509295409769595
1,50,20260812,650,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.8827338218688965,0.817707778733522,0.8685884584123543,0.8991377291255014,0.0196297539159761,0.0192071059391309,0.0133839025080084,0.2023372993253451,0.410960497845168
1,50,20260813,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.09615159034729,0.7747752134945068,0.7648658900027093,0.8637808328927873,0.4805621334262468,0.4805621334262469,0.0826313278041074,0.6135737281535224,1.377807076405412
1,50,20260813,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.2976956367492676,0.7685344571321733,0.8119100514765646,0.8873640066158882,0.0585372511947477,0.0567773812970276,0.020952728044342,0.2859406162850327,0.6175486420024696
1,50,20260813,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1820993423461914,0.9013682069712404,0.8946301815226226,0.9343951763137712,0.0127641008344027,0.0128748725350825,0.0105714279188727,0.1568631157687674,0.2999125682660385
1,50,20260813,650,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.876335620880127,0.8388617814156537,0.8657924681658087,0.907149662158898,0.0186633397734052,0.0186214596486744,0.0143458775512754,0.2025255371892275,0.4126508263486171
1,50,20260814,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0888824462890625,0.7979872893504439,0.7686805743700894,0.8700369196006309,0.4840187459316529,0.484016600605064,0.0820471827705904,0.6122217721013102,1.3701690287589374
1,50,20260814,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.3256175518035889,0.7817337317727675,0.800726090490382,0.8818606926358131,0.0607908667318054,0.0604283840417712,0.0210799857406429,0.2989736699686581,0.6295890434036271
1,50,20260814,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2056562900543213,0.901307083727612,0.8735952316445408,0.927325393558668,0.026738067350388,0.0254206413885304,0.0126633208526534,0.185742180587222,0.3476254426354911
1,50,20260814,650,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.913782358169556,0.8332542756339996,0.8414630181522622,0.8921917669688662,0.0275463879917726,0.0271151037925737,0.0165658721212606,0.2364190968096757,0.465653108951221
1,50,20260815,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0792417526245117,0.7833354606162111,0.767846112164725,0.8700316424368079,0.482729107353572,0.482729107353572,0.081464835983696,0.6123477617216995,1.3757380853177374
1,50,20260815,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.3696527481079102,0.7756754292675594,0.7960769439176375,0.8803399205115768,0.0673643471883546,0.0646972456196888,0.0205905673154853,0.3005601882822586,0.6288336110063784
1,50,20260815,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.201556921005249,0.895384658763212,0.8733134651855866,0.9223427181110176,0.0263199054292575,0.0242866733451472,0.0119877460712405,0.1878268593855334,0.353665043725442
1,50,20260815,650,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.824831485748291,0.8211641832569911,0.8345489027363858,0.8918120844103186,0.028776614036705,0.0288975657395479,0.0163773169958136,0.2443979298580895,0.4842139200247355
1,100,20260811,1300,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.121739387512207,0.8175408530509618,0.8133405581143321,0.8844164449891351,0.4304195226340549,0.4304173561084556,0.0713473321314099,0.4985651447420024,1.0819225404607324
1,100,20260811,1300,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.6563856601715088,0.8156599485918933,0.8465673259279328,0.9033345754720272,0.0486126536086529,0.0486548348301072,0.0145917407682972,0.2330602577777525,0.4785010310914997
1,100,20260811,1300,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2471981048583984,0.909155131844713,0.9014250880520184,0.940262202351962,0.03231342692345,0.0314941773843122,0.0093280874795433,0.1502628631382836,0.2965702837441334
1,100,20260811,1300,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.1701455116271973,0.868901870132532,0.8898184773774045,0.9254238810120156,0.0169249450365622,0.0169832938456856,0.0098263774719103,0.1664756332805969,0.3239634487004229
1,100,20260812,1300,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1088724136352539,0.8135565242936351,0.790972636141967,0.8829405267032917,0.4074409064720509,0.4074409064720508,0.0709299812355195,0.5020502665075331,1.088552804190756
1,100,20260812,1300,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.554804801940918,0.813273320785082,0.8269303711731238,0.9019937645208936,0.0594709910965795,0.0577469943587937,0.0185219343652949,0.2607558349479297,0.5351845058055373
1,100,20260812,1300,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2218565940856933,0.9097316680519912,0.9041777296125711,0.9407091641724976,0.0296074045680552,0.0295899837082131,0.0084771751519092,0.1448498476078545,0.2825884592697482
1,100,20260812,1300,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.0829203128814697,0.8552881827106357,0.8861663505824979,0.9202484968181892,0.0252808251259598,0.0249677956373291,0.0107785097649732,0.1733354354520644,0.3439147560015772
1,100,20260813,1300,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1050286293029785,0.8253572851150481,0.8174478461121647,0.8887299029954954,0.4331539462062738,0.4331539462062737,0.0725860894580111,0.4949506762168932,1.0788296122057288
1,100,20260813,1300,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.60538649559021,0.8194750620890253,0.8332917908425901,0.9000910290590246,0.0620398229442651,0.0616461988878431,0.0177390426549143,0.2559594383162362,0.5475514978005501
1,100,20260813,1300,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2394933700561523,0.9099003828783928,0.9028122460037932,0.9396474110600904,0.0280586306589719,0.0275575451025664,0.008814626136677,0.1465123505540468,0.285021100748092
1,100,20260813,1300,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.1233270168304443,0.8676164835686385,0.8908154971552424,0.9187515255649542,0.020915606011418,0.019811031793538,0.0093654407665086,0.1655206188964643,0.3299807250126229
1,100,20260814,1300,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1283109188079834,0.812374366118859,0.7991547006231373,0.8797749002919623,0.4135420097854243,0.4135420097854242,0.0701568388355491,0.4987016351287133,1.0830506814776326
1,100,20260814,1300,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.550734043121338,0.8182093595059678,0.8371173123814685,0.904307703608593,0.0524712740894933,0.0522539968312753,0.0171544458531025,0.2475066691755783,0.5138837263404686
1,100,20260814,1300,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2607600688934326,0.9059647089608146,0.8958547819019236,0.9354151535264884,0.032424933630407,0.0322807336061403,0.0095282403229699,0.1577769560525984,0.3089559730127873
1,100,20260814,1300,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.10842227935791,0.8610971761678434,0.8962124085613655,0.92370389472321,0.0217784121546384,0.0199162460943435,0.0085936120568232,0.1578365888727581,0.3135296905816669
1,100,20260815,1300,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1218709945678711,0.8194637607397127,0.8093308046599837,0.8799663070836232,0.4233668116180035,0.4233668116180034,0.0715403532651494,0.4963595767022248,1.0784805721778998
1,100,20260815,1300,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.7220942974090576,0.8157896219966106,0.836326198862097,0.9023285126947366,0.0537491459036715,0.0539772320314188,0.0173429070992747,0.2497478070585081,0.5169683862998797
1,100,20260815,1300,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.2352848052978515,0.9137257182843784,0.9058249796803034,0.9405419114462512,0.0293998468068805,0.0291043586612568,0.0082469095385205,0.1435786401512122,0.2825334557401523
1,100,20260815,1300,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.1339688301086426,0.8735972025112393,0.8932646979138444,0.9253058725328742,0.0228836118249052,0.0214112113748442,0.0093073066438703,0.1620337017384113,0.3199196300133858
1,250,20260811,3250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1742000579833984,0.8445673802649328,0.8310376591709564,0.8990163372456893,0.307473947705136,0.307473947705136,0.0543271373311229,0.3672956042533804,0.781676843066392
1,250,20260811,3250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,2.012790441513061,0.8451888178819055,0.854196694662693,0.9154150610975282,0.0636577826035211,0.0620310646223816,0.0145907882187774,0.2256499542390155,0.4651036553743786
1,250,20260811,3250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.4439706802368164,0.9140218077237808,0.9112869141154158,0.9475124857209912,0.0430335880787979,0.043033588078798,0.0087565263833864,0.1400519293205716,0.2973149214776762
1,250,20260811,3250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,2.699402332305908,0.8948868715998265,0.9075914386345164,0.937293597819968,0.0302793495307565,0.0296993072508406,0.0077852905316848,0.1421121517192258,0.2815109501779693
1,250,20260812,3250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.1766602993011474,0.8461191677400624,0.8362611758331076,0.9013206223516602,0.3185120655641327,0.3185120655641326,0.0551116130698408,0.3698702730589466,0.7869396673687078
